CustomerID,TotalSpent,TotalOrders,AvgOrderValue,AvgRating,TotalQuantity,Segment,SegmentName,PCA1,PCA2
1000,325007.88,9,36111.986666666664,3.2222222222222223,26,2,Regular Customer,-0.3444158157484981,0.5037152262180415
1001,119761.03,7,17108.71857142857,4.142857142857143,21,0,Happy Customer,-1.559791305885925,0.058839812670829925
1002,301226.34,11,27384.21272727273,4.363636363636363,36,1,Frequent Buyer,0.4531458362182829,-0.561545579930498
1003,99596.7,5,19919.34,3.6,14,2,Regular Customer,-2.313637272567932,0.723761704800082
1004,422593.38,9,46954.82,3.7777777777777777,32,3,High Spender,0.45292183113132334,0.7113879481585427
1005,60202.19,9,6689.1322222222225,4.111111111111111,26,0,Happy Customer,-1.3112668786172208,-0.8459412877063367
1006,12140.16,5,2428.032,4.0,8,0,Happy Customer,-3.04797449246269,0.2763667030193092
1007,43186.87,13,3322.066923076923,3.6923076923076925,39,1,Frequent Buyer,-0.18858377059400447,-2.0696685331212015
1008,207281.84,11,18843.803636363635,3.5454545454545454,28,2,Regular Customer,-0.4379614264747899,-0.5999243626163318
1009,385604.22,11,35054.929090909085,4.2727272727272725,35,1,Frequent Buyer,0.7132906212615977,-0.15436769139556636
1010,23264.03,4,5816.0075,3.0,17,2,Regular Customer,-2.840011513109994,0.2504892281061249
1011,260939.99,11,23721.817272727272,3.5454545454545454,31,2,Regular Customer,-0.08266468782517489,-0.4881961968701092
1012,286544.67,18,15919.148333333333,3.5,46,1,Frequent Buyer,1.7016861378154136,-2.334116127916528
1013,341041.1,13,26233.930769230767,3.0,28,2,Regular Customer,0.22665587854831765,-0.4395250123795091
1014,316106.39,14,22579.027857142857,3.142857142857143,46,1,Frequent Buyer,1.1839912648170254,-1.4601106862431026
1015,405712.27,16,25357.016875,3.4375,58,1,Frequent Buyer,2.400349738001858,-2.031559826290169
1016,183002.75,9,20333.63888888889,2.888888888888889,35,2,Regular Customer,-0.5474710730903358,-0.5278358341949044
1017,186785.28,7,26683.61142857143,4.428571428571429,21,0,Happy Customer,-1.195474331592898,0.433779645237896
